"site","y","t","w","QC_flag"
"Tumbarumba",0.283208514468183,2015-09-13 12:06:00,1,"good"
"Tumbarumba",0.28171832555966,2015-11-25 12:16:00,1,"good"
"Tumbarumba",0.286298330824204,2015-12-05 12:16:00,1,"good"
"Tumbarumba",0.29262647428267,2015-12-25 12:16:00,1,"good"
"Tumbarumba",0.300141481758425,2016-01-01 12:09:00,1,"good"
"Tumbarumba",0.31252912265729,2016-01-21 12:06:00,1,"good"
"Tumbarumba",0.328802365796716,2016-02-13 12:12:00,1,"good"
"Tumbarumba",0.343349333704981,2016-03-14 12:12:00,1,"good"
"Tumbarumba",0.35411624550004,2016-04-13 12:12:00,1,"good"
"Tumbarumba",0.360835940160855,2016-04-20 12:06:00,1,"good"
"Tumbarumba",0.363778494228895,2016-04-23 12:16:00,1,"good"
"Tumbarumba",0.3621399284935,2016-05-30 12:06:00,1,"good"
"Tumbarumba",0.356324233653468,2016-06-02 12:15:00,1,"good"
"Tumbarumba",0.347649827641849,2016-08-11 12:16:00,1,"good"
"Tumbarumba",0.338251977929353,2016-10-07 12:04:00,1,"good"
"Tumbarumba",0.329204413645848,2016-10-27 12:04:00,1,"good"
"Tumbarumba",0.321781047351528,2016-11-16 12:06:00,1,"good"
"Tumbarumba",0.317759207939704,2016-11-19 12:12:00,1,"good"
"Tumbarumba",0.318134574841028,2016-11-26 12:06:00,1,"good"
"Tumbarumba",0.322659880835449,2016-11-29 12:16:00,1,"good"
"Tumbarumba",0.331331142750416,2016-12-19 12:13:00,1,"good"
"Tumbarumba",0.342632442476882,2017-01-15 12:02:00,1,"good"
"Tumbarumba",0.354709766612372,2017-01-28 12:15:00,1,"good"
"Tumbarumba",0.365958377928826,2017-02-14 12:02:00,1,"good"
"Tumbarumba",0.375037167978553,2017-02-24 12:05:00,1,"good"
"Tumbarumba",0.381096705000259,2017-02-27 12:16:00,1,"good"
"Tumbarumba",0.384310487427008,2017-03-09 12:13:00,1,"good"
"Tumbarumba",0.384890226892326,2017-03-19 12:16:00,1,"good"
"Tumbarumba",0.383136100210072,2017-03-26 12:06:00,1,"good"
"Tumbarumba",0.380119842621602,2017-03-29 12:12:00,1,"good"
"Tumbarumba",0.376715236962733,2017-04-05 12:02:00,1,"good"
