"site","y","t","w","QC_flag"
"Tumbarumba",0.118972959110235,2015-09-13 12:06:00,1,"good"
"Tumbarumba",0.117345824145471,2015-11-25 12:16:00,1,"good"
"Tumbarumba",0.120150158098303,2015-12-05 12:16:00,1,"good"
"Tumbarumba",0.125223397421927,2016-01-01 12:09:00,1,"good"
"Tumbarumba",0.133439504155532,2016-01-21 12:06:00,1,"good"
"Tumbarumba",0.144075314174428,2016-02-13 12:12:00,1,"good"
"Tumbarumba",0.153647763920006,2016-03-14 12:12:00,1,"good"
"Tumbarumba",0.160918205410489,2016-04-13 12:12:00,1,"good"
"Tumbarumba",0.165669616623942,2016-04-20 12:06:00,1,"good"
"Tumbarumba",0.167997333571098,2016-04-23 12:16:00,1,"good"
"Tumbarumba",0.167326392366002,2016-05-30 12:06:00,1,"good"
"Tumbarumba",0.163744517933257,2016-06-02 12:15:00,1,"good"
"Tumbarumba",0.157765172971059,2016-08-11 12:16:00,1,"good"
"Tumbarumba",0.150951139474089,2016-10-07 12:04:00,1,"good"
"Tumbarumba",0.144450336782741,2016-10-27 12:04:00,1,"good"
"Tumbarumba",0.139460197133886,2016-11-16 12:06:00,1,"good"
"Tumbarumba",0.137288932452794,2016-11-19 12:12:00,1,"good"
"Tumbarumba",0.138441584386476,2016-11-26 12:06:00,1,"good"
"Tumbarumba",0.142480532743287,2016-11-29 12:16:00,1,"good"
"Tumbarumba",0.149247320479418,2016-12-19 12:13:00,1,"good"
"Tumbarumba",0.157418580890852,2017-01-15 12:02:00,1,"good"
"Tumbarumba",0.165375261916866,2017-02-24 12:05:00,1,"good"
"Tumbarumba",0.171521512471768,2017-02-27 12:16:00,1,"good"
"Tumbarumba",0.175561998921863,2017-03-09 12:13:00,1,"good"
"Tumbarumba",0.177377862669396,2017-03-19 12:16:00,1,"good"
"Tumbarumba",0.177201502603036,2017-03-26 12:06:00,1,"good"
"Tumbarumba",0.176001011073975,2017-03-29 12:12:00,1,"good"
"Tumbarumba",0.174426028484022,2017-04-05 12:02:00,1,"good"
"Tumbarumba",0.173071567468233,2017-04-15 12:06:00,1,"good"
"Tumbarumba",0.172225499958076,2017-04-18 12:12:00,1,"good"
"Tumbarumba",0.172087501934006,2017-05-08 12:12:00,1,"good"
"Tumbarumba",0.172036916096959,2017-05-18 12:16:00,1,"good"
"Tumbarumba",0.171671411815426,2017-06-07 12:16:00,1,"good"
"Tumbarumba",0.170239801690412,2017-06-14 12:06:00,1,"good"
"Tumbarumba",0.167367174708688,2017-07-12 12:16:00,1,"good"
"Tumbarumba",0.163466504255008,2017-07-22 12:16:00,1,"good"
"Tumbarumba",0.158806743178694,2017-07-27 12:16:00,1,"good"
"Tumbarumba",0.153944171507113,2017-08-26 12:16:00,1,"good"
"Tumbarumba",0.149936906583669,2017-08-31 12:13:00,1,"good"
"Tumbarumba",0.147149628183437,2017-09-20 12:13:00,1,"good"
"Tumbarumba",0.145859372182635,2017-10-02 12:02:00,1,"good"
"Tumbarumba",0.145871982058741,2017-10-10 12:15:00,1,"good"
"Tumbarumba",0.146910524441186,2017-10-15 12:14:00,1,"good"
"Tumbarumba",0.148194172029711,2017-10-17 12:02:00,1,"good"
"Tumbarumba",0.148831989606942,2017-10-30 12:15:00,1,"good"
